Pais_Caso,Tipo_Entidad,Año_Hito,Uso_Animales,Tipo_Restriccion,Formacion_Predominante,Estatus_Actual
Austria,País,2005,No,Prohibición nacional salvajes,N/A,Vigente
Bolivia,País,2009,No,Prohibición salvajes y domésticos,N/A,Vigente
Chile,País,2007,Sí,Regulación (Ley 20.216),Mixta,Vigente
Cirque du Soleil,Compañía,1984,No,N/A,Académica/Talleres,Activo
Ringling Bros,Compañía,2017,No,Eliminación voluntaria,Tradicional/Mixta,Activo
Circo Los Tachuela,Compañía,N/A,Sí,Permitido bajo ley local,Familiar,Activo
Circo del Mundo,Compañía,1995,No,N/A,Escuela/Social,Activo
